X,Y,Z,r,theta,phi,E_r,E_t
0.0,0.0,1.0,1.0,0.0,1.1868238913561442,0j,(-0.06926651092006958-0.2503928890000739j)
0.0,0.0,1.0,1.0,0.0,1.2042771838760873,0j,(-0.06926651092006958-0.2503928890000739j)
0.0,0.0,1.0,1.0,0.0,1.2217304763960306,0j,(-0.06926651092006958-0.2503928890000739j)
0.0,0.0,1.0,1.0,0.0,1.239183768915974,0j,(-0.06926651092006958-0.2503928890000739j)
0.0,0.0,1.0,1.0,0.0,1.2566370614359172,0j,(-0.06926651092006958-0.2503928890000739j)
0.0,0.0,1.0,1.0,0.0,1.2740903539558606,0j,(-0.06926651092006958-0.2503928890000739j)
0.0,0.0,1.0,1.0,0.0,1.2915436464758039,0j,(-0.06926651092006958-0.2503928890000739j)
0.0,0.0,1.0,1.0,0.0,1.3089969389957472,0j,(-0.06926651092006958-0.2503928890000739j)
0.0,0.0,1.0,1.0,0.0,1.3264502315156905,0j,(-0.06926651092006958-0.2503928890000739j)
0.0,0.0,1.0,1.0,0.0,1.3439035240356338,0j,(-0.06926651092006958-0.2503928890000739j)
0.0,0.0,1.0,1.0,0.0,1.361356816555577,0j,(-0.06926651092006958-0.2503928890000739j)
0.0,0.0,1.0,1.0,0.0,1.3788101090755203,0j,(-0.06926651092006958-0.2503928890000739j)
0.0,0.0,1.0,1.0,0.0,1.3962634015954636,0j,(-0.06926651092006958-0.2503928890000739j)
0.0,0.0,1.0,1.0,0.0,1.413716694115407,0j,(-0.06926651092006958-0.2503928890000739j)
0.0,0.0,1.0,1.0,0.0,1.4311699866353502,0j,(-0.06926651092006958-0.2503928890000739j)
0.0,0.0,1.0,1.0,0.0,1.4486232791552935,0j,(-0.06926651092006958-0.2503928890000739j)
0.0,0.0,1.0,1.0,0.0,1.4660765716752369,0j,(-0.06926651092006958-0.2503928890000739j)
0.0,0.0,1.0,1.0,0.0,1.4835298641951802,0j,(-0.06926651092006958-0.2503928890000739j)
0.0,0.0,1.0,1.0,0.0,1.5009831567151235,0j,(-0.06926651092006958-0.2503928890000739j)
0.0,0.0,1.0,1.0,0.0,1.5184364492350666,0j,(-0.06926651092006958-0.2503928890000739j)
0.0,0.0,1.0,1.0,0.0,1.53588974175501,0j,(-0.06926651092006958-0.2503928890000739j)
0.0,0.0,1.0,1.0,0.0,1.5533430342749532,0j,(-0.06926651092006958-0.2503928890000739j)
0.0,0.0,1.0,1.0,0.0,1.5707963267948966,0j,(-0.06926651092006958-0.2503928890000739j)
-0.0,0.0,1.0,1.0,0.0,1.5882496193148399,0j,(-0.06926651092006958-0.2503928890000739j)
-0.0,0.0,1.0,1.0,0.0,1.6057029118347832,0j,(-0.06926651092006958-0.2503928890000739j)
-0.0,0.0,1.0,1.0,0.0,1.6231562043547265,0j,(-0.06926651092006958-0.2503928890000739j)
-0.0,0.0,1.0,1.0,0.0,1.6406094968746698,0j,(-0.06926651092006958-0.2503928890000739j)
-0.0,0.0,1.0,1.0,0.0,1.6580627893946132,0j,(-0.06926651092006958-0.2503928890000739j)
-0.0,0.0,1.0,1.0,0.0,1.6755160819145565,0j,(-0.06926651092006958-0.2503928890000739j)
-0.0,0.0,1.0,1.0,0.0,1.6929693744344996,0j,(-0.06926651092006958-0.2503928890000739j)
-0.0,0.0,1.0,1.0,0.0,1.710422666954443,0j,(-0.06926651092006958-0.2503928890000739j)
-0.0,0.0,1.0,1.0,0.0,1.7278759594743862,0j,(-0.06926651092006958-0.2503928890000739j)
-0.0,0.0,1.0,1.0,0.0,1.7453292519943295,0j,(-0.06926651092006958-0.2503928890000739j)
-0.0,0.0,1.0,1.0,0.0,1.7627825445142729,0j,(-0.06926651092006958-0.2503928890000739j)
-0.0,0.0,1.0,1.0,0.0,1.7802358370342162,0j,(-0.06926651092006958-0.2503928890000739j)
-0.0,0.0,1.0,1.0,0.0,1.7976891295541595,0j,(-0.06926651092006958-0.2503928890000739j)
-0.0,0.0,1.0,1.0,0.0,1.8151424220741028,0j,(-0.06926651092006958-0.2503928890000739j)
-0.0,0.0,1.0,1.0,0.0,1.8325957145940461,0j,(-0.06926651092006958-0.2503928890000739j)
-0.0,0.0,1.0,1.0,0.0,1.8500490071139892,0j,(-0.06926651092006958-0.2503928890000739j)
-0.0,0.0,1.0,1.0,0.0,1.8675022996339325,0j,(-0.06926651092006958-0.2503928890000739j)
-0.0,0.0,1.0,1.0,0.0,1.8849555921538759,0j,(-0.06926651092006958-0.2503928890000739j)
-0.0,0.0,1.0,1.0,0.0,1.9024088846738192,0j,(-0.06926651092006958-0.2503928890000739j)
-0.0,0.0,1.0,1.0,0.0,1.9198621771937625,0j,(-0.06926651092006958-0.2503928890000739j)
-0.0,0.0,1.0,1.0,0.0,1.9373154697137058,0j,(-0.06926651092006958-0.2503928890000739j)
-0.0,0.0,1.0,1.0,0.0,1.9547687622336491,0j,(-0.06926651092006958-0.2503928890000739j)
-0.0,0.0,1.0,1.0,0.0,1.9722220547535925,0j,(-0.06926651092006958-0.2503928890000739j)
-0.0,0.0,1.0,1.0,0.0,1.9896753472735358,0j,(-0.06926651092006958-0.2503928890000739j)
-0.0,0.0,1.0,1.0,0.0,2.007128639793479,0j,(-0.06926651092006958-0.2503928890000739j)
-0.0,0.0,1.0,1.0,0.0,2.0245819323134224,0j,(-0.06926651092006958-0.2503928890000739j)
-0.0,0.0,1.0,1.0,0.0,2.0420352248333655,0j,(-0.06926651092006958-0.2503928890000739j)
-0.0,0.0,1.0,1.0,0.0,2.059488517353309,0j,(-0.06926651092006958-0.2503928890000739j)
-0.0,0.0,1.0,1.0,0.0,2.076941809873252,0j,(-0.06926651092006958-0.2503928890000739j)
-0.0,0.0,1.0,1.0,0.0,2.0943951023931953,0j,(-0.06926651092006958-0.2503928890000739j)
-0.0,0.0,1.0,1.0,0.0,2.111848394913139,0j,(-0.06926651092006958-0.2503928890000739j)
-0.0,0.0,1.0,1.0,0.0,2.129301687433082,0j,(-0.06926651092006958-0.2503928890000739j)
-0.0,0.0,1.0,1.0,0.0,2.1467549799530254,0j,(-0.06926651092006958-0.2503928890000739j)
-0.0,0.0,1.0,1.0,0.0,2.1642082724729685,0j,(-0.06926651092006958-0.2503928890000739j)
-0.0,0.0,1.0,1.0,0.0,2.181661564992912,0j,(-0.06926651092006958-0.2503928890000739j)
-0.0,0.0,1.0,1.0,0.0,2.199114857512855,0j,(-0.06926651092006958-0.2503928890000739j)
-0.0,0.0,1.0,1.0,0.0,2.2165681500327987,0j,(-0.06926651092006958-0.2503928890000739j)
-0.0,0.0,1.0,1.0,0.0,2.234021442552742,0j,(-0.06926651092006958-0.2503928890000739j)
-0.0,0.0,1.0,1.0,0.0,2.251474735072685,0j,(-0.06926651092006958-0.2503928890000739j)
-0.0,0.0,1.0,1.0,0.0,2.2689280275926285,0j,(-0.06926651092006958-0.2503928890000739j)
-0.0,0.0,1.0,1.0,0.0,2.2863813201125716,0j,(-0.06926651092006958-0.2503928890000739j)
-0.0,0.0,1.0,1.0,0.0,2.303834612632515,0j,(-0.06926651092006958-0.2503928890000739j)
-0.0,0.0,1.0,1.0,0.0,2.321287905152458,0j,(-0.06926651092006958-0.2503928890000739j)
-0.0,0.0,1.0,1.0,0.0,2.3387411976724017,0j,(-0.06926651092006958-0.2503928890000739j)
-0.0,0.0,1.0,1.0,0.0,2.356194490192345,0j,(-0.06926651092006958-0.2503928890000739j)
-0.0,0.0,1.0,1.0,0.0,2.3736477827122884,0j,(-0.06926651092006958-0.2503928890000739j)
-0.0,0.0,1.0,1.0,0.0,2.3911010752322315,0j,(-0.06926651092006958-0.2503928890000739j)
-0.0,0.0,1.0,1.0,0.0,2.4085543677521746,0j,(-0.06926651092006958-0.2503928890000739j)
-0.0,0.0,1.0,1.0,0.0,2.426007660272118,0j,(-0.06926651092006958-0.2503928890000739j)
-0.0,0.0,1.0,1.0,0.0,2.443460952792061,0j,(-0.06926651092006958-0.2503928890000739j)
-0.0,0.0,1.0,1.0,0.0,2.4609142453120048,0j,(-0.06926651092006958-0.2503928890000739j)
-0.0,0.0,1.0,1.0,0.0,2.478367537831948,0j,(-0.06926651092006958-0.2503928890000739j)
-0.0,0.0,1.0,1.0,0.0,2.4958208303518914,0j,(-0.06926651092006958-0.2503928890000739j)
-0.0,0.0,1.0,1.0,0.0,2.5132741228718345,0j,(-0.06926651092006958-0.2503928890000739j)
-0.0,0.0,1.0,1.0,0.0,2.530727415391778,0j,(-0.06926651092006958-0.2503928890000739j)
-0.0,0.0,1.0,1.0,0.0,2.548180707911721,0j,(-0.06926651092006958-0.2503928890000739j)
-0.0,0.0,1.0,1.0,0.0,2.5656340004316642,0j,(-0.06926651092006958-0.2503928890000739j)
-0.0,0.0,1.0,1.0,0.0,2.5830872929516078,0j,(-0.06926651092006958-0.2503928890000739j)
-0.0,0.0,1.0,1.0,0.0,2.600540585471551,0j,(-0.06926651092006958-0.2503928890000739j)
-0.0,0.0,1.0,1.0,0.0,2.6179938779914944,0j,(-0.06926651092006958-0.2503928890000739j)
-0.0,0.0,1.0,1.0,0.0,2.6354471705114375,0j,(-0.06926651092006958-0.2503928890000739j)
-0.0,0.0,1.0,1.0,0.0,2.652900463031381,0j,(-0.06926651092006958-0.2503928890000739j)
-0.0,0.0,1.0,1.0,0.0,2.670353755551324,0j,(-0.06926651092006958-0.2503928890000739j)
-0.0,0.0,1.0,1.0,0.0,2.6878070480712677,0j,(-0.06926651092006958-0.2503928890000739j)
-0.0,0.0,1.0,1.0,0.0,2.705260340591211,0j,(-0.06926651092006958-0.2503928890000739j)
-0.0,0.0,1.0,1.0,0.0,2.722713633111154,0j,(-0.06926651092006958-0.2503928890000739j)
-0.0,0.0,1.0,1.0,0.0,2.7401669256310974,0j,(-0.06926651092006958-0.2503928890000739j)
-0.0,0.0,1.0,1.0,0.0,2.7576202181510405,0j,(-0.06926651092006958-0.2503928890000739j)
-0.0,0.0,1.0,1.0,0.0,2.775073510670984,0j,(-0.06926651092006958-0.2503928890000739j)
-0.0,0.0,1.0,1.0,0.0,2.792526803190927,0j,(-0.06926651092006958-0.2503928890000739j)
-0.0,0.0,1.0,1.0,0.0,2.8099800957108707,0j,(-0.06926651092006958-0.2503928890000739j)
-0.0,0.0,1.0,1.0,0.0,2.827433388230814,0j,(-0.06926651092006958-0.2503928890000739j)
-0.0,0.0,1.0,1.0,0.0,2.8448866807507573,0j,(-0.06926651092006958-0.2503928890000739j)
-0.0,0.0,1.0,1.0,0.0,2.8623399732707004,0j,(-0.06926651092006958-0.2503928890000739j)
-0.0,0.0,1.0,1.0,0.0,2.8797932657906435,0j,(-0.06926651092006958-0.2503928890000739j)
-0.0,0.0,1.0,1.0,0.0,2.897246558310587,0j,(-0.06926651092006958-0.2503928890000739j)
-0.0,0.0,1.0,1.0,0.0,2.91469985083053,0j,(-0.06926651092006958-0.2503928890000739j)
-0.0,0.0,1.0,1.0,0.0,2.9321531433504737,0j,(-0.06926651092006958-0.2503928890000739j)
-0.0,0.0,1.0,1.0,0.0,2.949606435870417,0j,(-0.06926651092006958-0.2503928890000739j)
-0.0,0.0,1.0,1.0,0.0,2.9670597283903604,0j,(-0.06926651092006958-0.2503928890000739j)
-0.0,0.0,1.0,1.0,0.0,2.9845130209103035,0j,(-0.06926651092006958-0.2503928890000739j)
-0.0,0.0,1.0,1.0,0.0,3.001966313430247,0j,(-0.06926651092006958-0.2503928890000739j)
-0.0,0.0,1.0,1.0,0.0,3.01941960595019,0j,(-0.06926651092006958-0.2503928890000739j)
-0.0,0.0,1.0,1.0,0.0,3.036872898470133,0j,(-0.06926651092006958-0.2503928890000739j)
-0.0,0.0,1.0,1.0,0.0,3.0543261909900767,0j,(-0.06926651092006958-0.2503928890000739j)
-0.0,0.0,1.0,1.0,0.0,3.07177948351002,0j,(-0.06926651092006958-0.2503928890000739j)
-0.0,0.0,1.0,1.0,0.0,3.0892327760299634,0j,(-0.06926651092006958-0.2503928890000739j)
-0.0,0.0,1.0,1.0,0.0,3.1066860685499065,0j,(-0.06926651092006958-0.2503928890000739j)
-0.0,0.0,1.0,1.0,0.0,3.12413936106985,0j,(-0.06926651092006958-0.2503928890000739j)
-0.0,0.0,1.0,1.0,0.0,3.141592653589793,0j,(-0.06926651092006958-0.2503928890000739j)
-0.0,-0.0,1.0,1.0,0.0,3.1590459461097367,0j,(-0.06926651092006958-0.2503928890000739j)
-0.0,-0.0,1.0,1.0,0.0,3.1764992386296798,0j,(-0.06926651092006958-0.2503928890000739j)
-0.0,-0.0,1.0,1.0,0.0,3.193952531149623,0j,(-0.06926651092006958-0.2503928890000739j)
-0.0,-0.0,1.0,1.0,0.0,3.2114058236695664,0j,(-0.06926651092006958-0.2503928890000739j)
-0.0,-0.0,1.0,1.0,0.0,3.2288591161895095,0j,(-0.06926651092006958-0.2503928890000739j)
-0.0,-0.0,1.0,1.0,0.0,3.246312408709453,0j,(-0.06926651092006958-0.2503928890000739j)
-0.0,-0.0,1.0,1.0,0.0,3.263765701229396,0j,(-0.06926651092006958-0.2503928890000739j)
-0.0,-0.0,1.0,1.0,0.0,3.2812189937493397,0j,(-0.06926651092006958-0.2503928890000739j)
-0.0,-0.0,1.0,1.0,0.0,3.2986722862692828,0j,(-0.06926651092006958-0.2503928890000739j)
-0.0,-0.0,1.0,1.0,0.0,3.3161255787892263,0j,(-0.06926651092006958-0.2503928890000739j)
-0.0,-0.0,1.0,1.0,0.0,3.3335788713091694,0j,(-0.06926651092006958-0.2503928890000739j)
-0.0,-0.0,1.0,1.0,0.0,3.351032163829113,0j,(-0.06926651092006958-0.2503928890000739j)
-0.0,-0.0,1.0,1.0,0.0,3.368485456349056,0j,(-0.06926651092006958-0.2503928890000739j)
